time,(LX)
0.000000,2.786676E+1
0.010000,2.836364E+1
0.020000,2.756864E+1
0.030000,2.687302E+1
0.040000,2.717114E+1
0.050000,2.796614E+1
0.060000,2.647552E+1
0.070000,2.866176E+1
0.080000,2.895988E+1
0.090000,2.548178E+1
0.100000,2.687302E+1
0.110000,2.647552E+1
0.120000,2.846301E+1
0.130000,2.895988E+1
0.140000,2.607802E+1
0.150000,2.637615E+1
0.160000,2.905926E+1
0.170000,2.776739E+1
0.180000,2.637615E+1
0.190000,2.607802E+1
0.200000,2.746927E+1
0.210000,2.577990E+1
0.220000,2.776739E+1
0.230000,2.637615E+1
0.240000,2.697239E+1
0.250000,3.025175E+1
0.260000,2.736989E+1
0.270000,2.736989E+1
0.280000,2.727052E+1
0.290000,2.925801E+1
0.300000,2.806551E+1
0.310000,2.727052E+1
0.320000,2.746927E+1
0.330000,2.727052E+1
0.340000,2.697239E+1
0.350000,2.756864E+1
0.360000,2.746927E+1
0.370000,2.786676E+1
0.380000,2.548178E+1
0.390000,2.697239E+1
0.400000,2.667427E+1
0.410000,2.766802E+1
0.420000,2.786676E+1
0.430000,2.677365E+1
0.440000,2.677365E+1
0.450000,2.657490E+1
0.460000,2.766802E+1
0.470000,2.707177E+1
0.480000,2.866176E+1
0.490000,2.647552E+1
0.500000,2.667427E+1
0.510000,2.677365E+1
0.520000,2.717114E+1
0.530000,2.727052E+1
0.540000,2.776739E+1
0.550000,2.836364E+1
0.560000,2.707177E+1
0.570000,2.687302E+1
0.580000,2.866176E+1
0.590000,2.667427E+1
0.600000,2.786676E+1
0.610000,2.697239E+1
0.620000,2.746927E+1
0.630000,2.647552E+1
0.640000,2.697239E+1
0.650000,2.717114E+1
0.660000,2.816489E+1
0.670000,2.796614E+1
0.680000,2.717114E+1
0.690000,2.866176E+1
0.700000,2.607802E+1
0.710000,2.806551E+1
0.720000,2.746927E+1
0.730000,2.876113E+1
0.740000,2.637615E+1
0.750000,2.846301E+1
0.760000,2.736989E+1
0.770000,2.627677E+1
0.780000,2.717114E+1
0.790000,2.935738E+1
0.800000,2.687302E+1
0.810000,2.925801E+1
0.820000,2.647552E+1
0.830000,2.667427E+1
0.840000,2.836364E+1
0.850000,2.607802E+1
0.860000,2.667427E+1
0.870000,2.727052E+1
0.880000,2.687302E+1
0.890000,2.667427E+1
0.900000,2.925801E+1
0.910000,2.637615E+1
0.920000,2.876113E+1
0.930000,2.985425E+1
0.940000,2.826426E+1
0.950000,2.886051E+1
0.960000,2.617740E+1
0.970000,2.776739E+1
0.980000,2.607802E+1
0.990000,2.816489E+1
1.000000,2.707177E+1
1.010000,2.856238E+1
1.020000,2.776739E+1
1.030000,2.697239E+1
1.040000,2.826426E+1
1.050000,2.647552E+1
1.060000,2.727052E+1
1.070000,2.667427E+1
1.080000,2.955613E+1
1.090000,2.776739E+1
1.100000,2.727052E+1
1.110000,2.647552E+1
1.120000,2.846301E+1
1.130000,2.707177E+1
1.140000,2.627677E+1
1.150000,2.717114E+1
1.160000,2.657490E+1
1.170000,2.667427E+1
1.180000,2.687302E+1
1.190000,2.736989E+1
1.200000,2.856238E+1
1.210000,2.935738E+1
1.220000,2.627677E+1
1.230000,2.637615E+1
1.240000,2.697239E+1
1.250000,2.687302E+1
1.260000,2.647552E+1
1.270000,2.746927E+1
1.280000,2.766802E+1
1.290000,2.707177E+1
1.300000,2.826426E+1
1.310000,2.637615E+1
1.320000,2.697239E+1
1.330000,2.697239E+1
1.340000,2.647552E+1
1.350000,2.806551E+1
1.360000,2.687302E+1
1.370000,2.806551E+1
1.380000,2.528303E+1
1.390000,2.607802E+1
