time,(LX)
0.000000,5.875435E+2
0.010000,5.901272E+2
0.020000,5.876429E+2
0.030000,5.858541E+2
0.040000,5.896304E+2
0.050000,5.876429E+2
0.060000,5.871460E+2
0.070000,5.857548E+2
0.080000,5.850591E+2
0.090000,5.877422E+2
0.100000,5.842641E+2
0.110000,5.876429E+2
0.120000,5.906241E+2
0.130000,5.858541E+2
0.140000,5.868479E+2
0.150000,5.877422E+2
0.160000,5.867485E+2
0.170000,5.842641E+2
0.180000,5.853573E+2
0.190000,5.897297E+2
0.200000,5.905247E+2
0.210000,5.880404E+2
0.220000,5.855560E+2
0.230000,5.869472E+2
0.240000,5.890341E+2
0.250000,5.903260E+2
0.260000,5.865497E+2
0.270000,5.903260E+2
0.280000,5.882391E+2
0.290000,5.880404E+2
0.300000,5.829723E+2
0.310000,5.884379E+2
0.320000,5.840654E+2
0.330000,5.865497E+2
0.340000,5.857548E+2
0.350000,5.883385E+2
0.360000,5.832704E+2
0.370000,5.880404E+2
0.380000,5.834691E+2
0.390000,5.864504E+2
0.400000,5.867485E+2
0.410000,5.862516E+2
0.420000,5.847610E+2
0.430000,5.893322E+2
0.440000,5.847610E+2
0.450000,5.892329E+2
0.460000,5.887360E+2
0.470000,5.854566E+2
0.480000,5.871460E+2
0.490000,5.845623E+2
0.500000,5.880404E+2
0.510000,5.865497E+2
0.520000,5.872454E+2
0.530000,5.863510E+2
0.540000,5.878416E+2
0.550000,5.900279E+2
0.560000,5.874441E+2
0.570000,5.861522E+2
0.580000,5.892329E+2
0.590000,5.869472E+2
0.600000,5.864504E+2
0.610000,5.881397E+2
0.620000,5.854566E+2
0.630000,5.862516E+2
0.640000,5.889347E+2
0.650000,5.908228E+2
0.660000,5.863510E+2
0.670000,5.880404E+2
0.680000,5.848604E+2
0.690000,5.901272E+2
0.700000,5.904253E+2
0.710000,5.866491E+2
0.720000,5.857548E+2
0.730000,5.898291E+2
0.740000,5.857548E+2
0.750000,5.847610E+2
0.760000,5.863510E+2
0.770000,5.874441E+2
0.780000,5.907235E+2
0.790000,5.872454E+2
0.800000,5.871460E+2
0.810000,5.860529E+2
0.820000,5.867485E+2
0.830000,5.847610E+2
0.840000,5.866491E+2
0.850000,5.905247E+2
0.860000,5.862516E+2
0.870000,5.858541E+2
0.880000,5.892329E+2
0.890000,5.886366E+2
0.900000,5.871460E+2
0.910000,5.861522E+2
0.920000,5.881397E+2
0.930000,5.870466E+2
0.940000,5.898291E+2
0.950000,5.857548E+2
0.960000,5.893322E+2
0.970000,5.897297E+2
0.980000,5.876429E+2
0.990000,5.873447E+2
1.000000,5.855560E+2
1.010000,5.889347E+2
1.020000,5.872454E+2
1.030000,5.880404E+2
1.040000,5.889347E+2
1.050000,5.897297E+2
1.060000,5.862516E+2
1.070000,5.889347E+2
1.080000,5.884379E+2
1.090000,5.895310E+2
1.100000,5.903260E+2
1.110000,5.879410E+2
1.120000,5.882391E+2
1.130000,5.894316E+2
1.140000,5.877422E+2
1.150000,5.888354E+2
1.160000,5.887360E+2
1.170000,5.894316E+2
1.180000,5.875435E+2
1.190000,5.898291E+2
1.200000,5.861522E+2
1.210000,5.898291E+2
1.220000,5.850591E+2
1.230000,5.888354E+2
1.240000,5.892329E+2
1.250000,5.909222E+2
1.260000,5.937047E+2
1.270000,5.900279E+2
1.280000,5.858541E+2
1.290000,5.895310E+2
1.300000,5.863510E+2
1.310000,5.893322E+2
1.320000,5.898291E+2
1.330000,5.853573E+2
1.340000,5.856554E+2
1.350000,5.864504E+2
1.360000,5.859535E+2
1.370000,5.893322E+2
1.380000,5.879410E+2
1.390000,5.895310E+2
1.400000,5.853573E+2
1.410000,5.880404E+2
1.420000,5.871460E+2
1.430000,5.844629E+2
1.440000,5.848604E+2
1.450000,5.852579E+2
1.460000,5.892329E+2
1.470000,5.884379E+2
1.480000,5.900279E+2
1.490000,5.849598E+2
1.500000,5.866491E+2
1.510000,5.855560E+2
