time,(LX)
0.000000,1.035671E+0
0.010000,2.406757E-1
0.020000,9.362966E-1
0.030000,1.035671E+0
0.040000,1.830666E+0
0.050000,5.387989E-1
0.060000,4.394245E-1
0.070000,1.333794E+0
0.080000,1.234420E+0
0.090000,4.394245E-1
0.100000,7.375478E-1
0.110000,7.375478E-1
0.120000,1.234420E+0
0.130000,3.400501E-1
0.140000,7.375478E-1
0.150000,6.381734E-1
0.160000,8.369222E-1
0.170000,1.413013E-1
0.180000,4.192684E-2
0.190000,1.413013E-1
0.200000,1.532543E+0
0.210000,2.406757E-1
0.220000,2.426913E+0
0.230000,3.400501E-1
0.240000,3.400501E-1
0.250000,1.035671E+0
0.260000,1.333794E+0
0.270000,4.394245E-1
0.280000,1.413013E-1
0.290000,-5.744758E-2
0.300000,3.400501E-1
0.310000,-1.568220E-1
0.320000,3.400501E-1
0.330000,4.394245E-1
0.340000,2.406757E-1
0.350000,3.400501E-1
0.360000,1.413013E-1
0.370000,1.413013E-1
0.380000,1.413013E-1
0.390000,1.413013E-1
0.400000,1.413013E-1
0.410000,4.394245E-1
0.420000,2.406757E-1
0.430000,-5.744758E-2
0.440000,-5.744758E-2
0.450000,2.406757E-1
0.460000,4.192684E-2
0.470000,3.400501E-1
0.480000,2.406757E-1
0.490000,6.381734E-1
0.500000,2.406757E-1
0.510000,2.406757E-1
0.520000,1.413013E-1
0.530000,5.387989E-1
0.540000,5.387989E-1
0.550000,4.192684E-2
0.560000,3.400501E-1
0.570000,4.394245E-1
0.580000,4.394245E-1
0.590000,5.387989E-1
0.600000,4.394245E-1
0.610000,7.375478E-1
0.620000,6.381734E-1
0.630000,5.387989E-1
0.640000,5.387989E-1
0.650000,4.394245E-1
0.660000,4.394245E-1
0.670000,4.192684E-2
0.680000,3.400501E-1
0.690000,2.406757E-1
0.700000,4.192684E-2
0.710000,-1.568220E-1
0.720000,5.387989E-1
0.730000,4.394245E-1
0.740000,1.413013E-1
0.750000,7.375478E-1
0.760000,4.394245E-1
0.770000,-5.744758E-2
0.780000,6.381734E-1
0.790000,2.406757E-1
0.800000,1.413013E-1
0.810000,2.406757E-1
0.820000,4.394245E-1
0.830000,1.413013E-1
0.840000,2.406757E-1
0.850000,4.192684E-2
0.860000,4.394245E-1
0.870000,5.387989E-1
0.880000,5.387989E-1
0.890000,1.413013E-1
0.900000,5.387989E-1
0.910000,5.387989E-1
0.920000,-1.568220E-1
0.930000,1.413013E-1
0.940000,3.400501E-1
0.950000,1.413013E-1
0.960000,-1.568220E-1
0.970000,3.400501E-1
0.980000,2.406757E-1
0.990000,4.192684E-2
1.000000,4.394245E-1
1.010000,3.400501E-1
1.020000,-1.568220E-1
1.030000,-1.568220E-1
1.040000,-5.744758E-2
1.050000,4.192684E-2
1.060000,1.413013E-1
1.070000,1.413013E-1
1.080000,2.406757E-1
1.090000,-5.744758E-2
1.100000,-5.744758E-2
1.110000,4.394245E-1
1.120000,4.394245E-1
1.130000,4.394245E-1
1.140000,1.413013E-1
1.150000,4.394245E-1
1.160000,1.035671E+0
1.170000,1.413013E-1
1.180000,4.192684E-2
1.190000,1.035671E+0
1.200000,5.387989E-1
1.210000,3.400501E-1
1.220000,5.387989E-1
1.230000,1.035671E+0
1.240000,6.381734E-1
1.250000,1.413013E-1
1.260000,4.394245E-1
1.270000,4.394245E-1
1.280000,2.406757E-1
1.290000,2.406757E-1
1.300000,3.400501E-1
1.310000,4.192684E-2
1.320000,1.413013E-1
1.330000,7.375478E-1
1.340000,2.029415E+0
1.350000,-1.568220E-1
1.360000,2.029415E+0
1.370000,4.192684E-2
1.380000,4.394245E-1
1.390000,1.413013E-1
1.400000,1.631918E+0
1.410000,1.135045E+0
1.420000,2.228164E+0
1.430000,-2.561964E-1
1.440000,9.362966E-1
1.450000,-5.744758E-2
1.460000,1.234420E+0
1.470000,1.035671E+0
1.480000,1.333794E+0
1.490000,2.406757E-1
1.500000,2.406757E-1
1.510000,5.387989E-1
1.520000,2.406757E-1
1.530000,3.420657E+0
1.540000,2.029415E+0
1.550000,1.035671E+0
1.560000,8.369222E-1
1.570000,4.394245E-1
1.580000,5.387989E-1
1.590000,9.362966E-1
1.600000,5.387989E-1
1.610000,4.394245E-1
1.620000,1.135045E+0
1.630000,2.406757E-1
1.640000,-5.744758E-2
1.650000,5.387989E-1
1.660000,3.400501E-1
1.670000,2.406757E-1
1.680000,2.526287E+0
1.690000,4.394245E-1
1.700000,4.394245E-1
1.710000,7.375478E-1
1.720000,2.406757E-1
1.730000,6.381734E-1
1.740000,9.362966E-1
1.750000,4.394245E-1
1.760000,2.327538E+0
1.770000,6.381734E-1
1.780000,6.381734E-1
1.790000,4.394245E-1
1.800000,7.375478E-1
1.810000,6.381734E-1
1.820000,2.128790E+0
1.830000,-1.568220E-1
1.840000,5.387989E-1
1.850000,4.192684E-2
1.860000,7.375478E-1
1.870000,1.413013E-1
1.880000,8.369222E-1
1.890000,4.192684E-2
1.900000,1.532543E+0
1.910000,4.394245E-1
1.920000,4.394245E-1
1.930000,7.375478E-1
1.940000,8.369222E-1
1.950000,-5.744758E-2
1.960000,9.362966E-1
1.970000,2.406757E-1
1.980000,2.406757E-1
1.990000,5.387989E-1
2.000000,3.400501E-1
2.010000,1.135045E+0
2.020000,5.387989E-1
2.030000,6.381734E-1
2.040000,8.369222E-1
2.050000,7.375478E-1
2.060000,8.369222E-1
2.070000,3.400501E-1
2.080000,7.375478E-1
2.090000,1.035671E+0
2.100000,2.406757E-1
2.110000,2.406757E-1
2.120000,1.234420E+0
2.130000,-1.568220E-1
2.140000,4.394245E-1
2.150000,4.192684E-2
2.160000,1.830666E+0
2.170000,2.406757E-1
2.180000,6.381734E-1
2.190000,4.192684E-2
2.200000,4.394245E-1
2.210000,7.375478E-1
2.220000,1.135045E+0
2.230000,5.387989E-1
2.240000,6.381734E-1
2.250000,-5.744758E-2
2.260000,6.381734E-1
2.270000,3.400501E-1
2.280000,5.387989E-1
2.290000,1.035671E+0
2.300000,4.394245E-1
2.310000,8.369222E-1
2.320000,6.381734E-1
2.330000,4.192684E-2
