distancia,N,media,sigma
292,7,745.1091616766467,8.054902991483132
282,7,39.192868982035925,1.3420350856351746
288,7,81.23320698602794,1.2853873256423742
300,7,124.16355469061875,1.5975836063269258
263,7,8.845984650698602,1.0623350508615885
301,7,1.246916042714571,0.3342812316847099
291,7,508.21870019960073,1.707298773026914
293,7,5687.620698602795,77.74953064093191
312,7,14.506414715284714,0.611224207420981
273,7,38.731105309381235,1.0816562266627958
314,7,8.34758316983017,0.5523559835842315
290,7,345.8046071856287,1.790961578693289
297,7,587.8654183632733,1.939121946350071
283,7,35.75324512974052,1.0432457127489645
309,7,0.6272639850299401,0.5246947250525031
275,7,10.267772834331335,0.8200179459112693
317,7,0.40031011324675325,0.3587387080839585
277,7,0.27261037916167663,0.25655527300539077
281,7,31.11120996007984,0.7309267989567302
265,7,14.042017165668664,0.6270242568734761
286,7,0.8480299135329341,0.7275691943436737
306,7,27.158051816367262,1.070086460560428
298,7,421.0929249500998,1.4625772209431553
271,7,20.159593193612775,0.8825294355110732
299,7,246.76123473053892,1.7396235393538546
304,7,37.98649145708583,0.947267143257214
303,7,36.25329063872255,1.0299917093815862
268,7,0.5231291171656687,0.34597205106444123
296,7,709.1529305389221,6.898109264231966
266,7,10.818993363273453,0.7134831939967584
289,7,194.4954500998004,1.6013588912008867
260,7,0.48782243872255493,0.42219780726499984
