time,(LX)
0.000000,8.808766E+1
0.010000,9.077077E+1
0.020000,9.047265E+1
0.030000,9.186389E+1
0.040000,9.017452E+1
0.050000,8.828641E+1
0.060000,8.759079E+1
0.070000,8.848516E+1
0.080000,9.186389E+1
0.090000,9.077077E+1
0.100000,8.838578E+1
0.110000,9.325513E+1
0.120000,9.087015E+1
0.130000,8.987640E+1
0.140000,8.997578E+1
0.150000,9.126764E+1
0.160000,8.918078E+1
0.170000,8.858453E+1
0.180000,8.977703E+1
0.190000,8.788891E+1
0.200000,8.808766E+1
0.210000,8.918078E+1
0.220000,8.778954E+1
0.230000,9.255951E+1
0.240000,8.977703E+1
0.250000,8.818704E+1
0.260000,8.888266E+1
0.270000,8.987640E+1
0.280000,8.997578E+1
0.290000,8.967765E+1
0.300000,9.236076E+1
0.310000,9.285763E+1
0.320000,8.987640E+1
0.330000,9.047265E+1
0.340000,8.868391E+1
0.350000,8.928015E+1
0.360000,9.027390E+1
0.370000,9.325513E+1
0.380000,8.908141E+1
0.390000,8.977703E+1
0.400000,8.838578E+1
0.410000,9.047265E+1
0.420000,8.888266E+1
0.430000,8.997578E+1
0.440000,9.196326E+1
0.450000,8.947890E+1
0.460000,8.769016E+1
0.470000,9.007515E+1
0.480000,8.928015E+1
0.490000,8.759079E+1
0.500000,8.848516E+1
0.510000,8.888266E+1
0.520000,8.918078E+1
0.530000,8.868391E+1
0.540000,9.106889E+1
0.550000,8.918078E+1
0.560000,9.295701E+1
0.570000,8.918078E+1
0.580000,8.997578E+1
0.590000,9.156577E+1
0.600000,8.858453E+1
0.610000,8.838578E+1
0.620000,8.928015E+1
0.630000,8.719329E+1
0.640000,8.848516E+1
0.650000,9.156577E+1
0.660000,9.246014E+1
0.670000,9.156577E+1
0.680000,8.788891E+1
0.690000,9.226139E+1
0.700000,8.808766E+1
0.710000,9.206264E+1
0.720000,8.729267E+1
0.730000,8.947890E+1
0.740000,8.967765E+1
0.750000,8.918078E+1
0.760000,9.047265E+1
0.770000,9.037327E+1
0.780000,8.918078E+1
0.790000,9.077077E+1
0.800000,8.828641E+1
0.810000,9.027390E+1
0.820000,9.166514E+1
0.830000,8.828641E+1
0.840000,8.947890E+1
0.850000,8.848516E+1
0.860000,8.818704E+1
0.870000,8.967765E+1
0.880000,8.729267E+1
0.890000,8.928015E+1
0.900000,8.918078E+1
0.910000,8.947890E+1
0.920000,8.918078E+1
0.930000,8.878328E+1
0.940000,8.759079E+1
0.950000,8.908141E+1
0.960000,8.778954E+1
0.970000,8.947890E+1
0.980000,8.977703E+1
0.990000,8.918078E+1
1.000000,8.868391E+1
1.010000,8.739204E+1
1.020000,8.729267E+1
1.030000,8.858453E+1
1.040000,8.739204E+1
1.050000,9.037327E+1
1.060000,8.818704E+1
1.070000,8.759079E+1
1.080000,8.997578E+1
1.090000,8.947890E+1
1.100000,8.818704E+1
1.110000,8.987640E+1
1.120000,8.610017E+1
