time,(LX)
0.000000,2.202556E+2
0.010000,2.206531E+2
0.020000,2.205538E+2
0.030000,2.208519E+2
0.040000,2.200569E+2
0.050000,2.216469E+2
0.060000,2.207525E+2
0.070000,2.207525E+2
0.080000,2.200569E+2
0.090000,2.220444E+2
0.100000,2.212494E+2
0.110000,2.201563E+2
0.120000,2.202556E+2
0.130000,2.221438E+2
0.140000,2.202556E+2
0.150000,2.223425E+2
0.160000,2.221438E+2
0.170000,2.213488E+2
0.180000,2.204544E+2
0.190000,2.225413E+2
0.200000,2.223425E+2
0.210000,2.222431E+2
0.220000,2.211500E+2
0.230000,2.211500E+2
0.240000,2.200569E+2
0.250000,2.219450E+2
0.260000,2.210506E+2
0.270000,2.218456E+2
0.280000,2.212494E+2
0.290000,2.215475E+2
0.300000,2.210506E+2
0.310000,2.224419E+2
0.320000,2.201563E+2
0.330000,2.211500E+2
0.340000,2.218456E+2
0.350000,2.218456E+2
0.360000,2.227400E+2
0.370000,2.210506E+2
0.380000,2.224419E+2
0.390000,2.218456E+2
0.400000,2.212494E+2
0.410000,2.206531E+2
0.420000,2.196594E+2
0.430000,2.225413E+2
0.440000,2.189638E+2
0.450000,2.205538E+2
0.460000,2.191625E+2
0.470000,2.215475E+2
0.480000,2.201563E+2
0.490000,2.200569E+2
0.500000,2.214481E+2
0.510000,2.220444E+2
0.520000,2.224419E+2
0.530000,2.230381E+2
0.540000,2.222431E+2
0.550000,2.215475E+2
0.560000,2.200569E+2
0.570000,2.204544E+2
0.580000,2.202556E+2
0.590000,2.217463E+2
0.600000,2.217463E+2
0.610000,2.216469E+2
0.620000,2.201563E+2
0.630000,2.223425E+2
0.640000,2.228394E+2
0.650000,2.203550E+2
0.660000,2.201563E+2
0.670000,2.216469E+2
0.680000,2.232369E+2
0.690000,2.219450E+2
0.700000,2.203550E+2
0.710000,2.214481E+2
0.720000,2.228394E+2
0.730000,2.204544E+2
0.740000,2.224419E+2
0.750000,2.227400E+2
0.760000,2.213488E+2
0.770000,2.200569E+2
0.780000,2.216469E+2
0.790000,2.212494E+2
0.800000,2.223425E+2
0.810000,2.193613E+2
0.820000,2.188644E+2
0.830000,2.219450E+2
0.840000,2.225413E+2
0.850000,2.211500E+2
0.860000,2.218456E+2
0.870000,2.200569E+2
0.880000,2.197588E+2
0.890000,2.197588E+2
0.900000,2.197588E+2
0.910000,2.200569E+2
0.920000,2.185663E+2
0.930000,2.210506E+2
0.940000,2.212494E+2
0.950000,2.195600E+2
0.960000,2.202556E+2
0.970000,2.226406E+2
0.980000,2.188644E+2
0.990000,2.201563E+2
1.000000,2.199575E+2
1.010000,2.201563E+2
1.020000,2.204544E+2
1.030000,2.199575E+2
1.040000,2.188644E+2
1.050000,2.208519E+2
1.060000,2.219450E+2
1.070000,2.202556E+2
1.080000,2.199575E+2
1.090000,2.187650E+2
1.100000,2.202556E+2
1.110000,2.210506E+2
1.120000,2.193613E+2
1.130000,2.209513E+2
1.140000,2.200569E+2
1.150000,2.214481E+2
1.160000,2.204544E+2
1.170000,2.195600E+2
1.180000,2.204544E+2
1.190000,2.208519E+2
1.200000,2.193613E+2
1.210000,2.194606E+2
1.220000,2.209513E+2
1.230000,2.200569E+2
1.240000,2.194606E+2
1.250000,2.222431E+2
1.260000,2.202556E+2
1.270000,2.198581E+2
1.280000,2.202556E+2
1.290000,2.187650E+2
1.300000,2.196594E+2
1.310000,2.189638E+2
1.320000,2.182682E+2
1.330000,2.212494E+2
1.340000,2.201563E+2
1.350000,2.224419E+2
1.360000,2.195600E+2
1.370000,2.223425E+2
1.380000,2.220444E+2
1.390000,2.195600E+2
1.400000,2.205538E+2
1.410000,2.202556E+2
1.420000,2.212494E+2
1.430000,2.210506E+2
1.440000,2.209513E+2
1.450000,2.223425E+2
1.460000,2.191625E+2
1.470000,2.217463E+2
1.480000,2.226406E+2
1.490000,2.219450E+2
1.500000,2.212494E+2
1.510000,2.216469E+2
1.520000,2.207525E+2
1.530000,2.227400E+2
1.540000,2.195600E+2
1.550000,2.206531E+2
1.560000,2.200569E+2
1.570000,2.190631E+2
1.580000,2.214481E+2
1.590000,2.198581E+2
1.600000,2.220444E+2
1.610000,2.226406E+2
1.620000,2.211500E+2
1.630000,2.213488E+2
1.640000,2.192619E+2
1.650000,2.199575E+2
1.660000,2.188644E+2
1.670000,2.211500E+2
1.680000,2.191625E+2
1.690000,2.211500E+2
1.700000,2.208519E+2
1.710000,2.209513E+2
1.720000,2.224419E+2
1.730000,2.217463E+2
1.740000,2.196594E+2
1.750000,2.198581E+2
1.760000,2.216469E+2
1.770000,2.205538E+2
1.780000,2.201563E+2
1.790000,2.233362E+2
1.800000,2.210506E+2
1.810000,2.228394E+2
1.820000,2.189638E+2
1.830000,2.222431E+2
1.840000,2.192619E+2
1.850000,2.226406E+2
1.860000,2.224419E+2
1.870000,2.225413E+2
1.880000,2.205538E+2
1.890000,2.224419E+2
1.900000,2.217463E+2
1.910000,2.228394E+2
1.920000,2.223425E+2
1.930000,2.221438E+2
1.940000,2.212494E+2
1.950000,2.221438E+2
1.960000,2.232369E+2
1.970000,2.223425E+2
1.980000,2.204544E+2
1.990000,2.208519E+2
2.000000,2.200569E+2
2.010000,2.221438E+2
2.020000,2.208519E+2
2.030000,2.204544E+2
2.040000,2.226406E+2
2.050000,2.180694E+2
2.060000,2.222431E+2
2.070000,2.237337E+2
2.080000,2.222431E+2
2.090000,2.201563E+2
2.100000,2.227400E+2
2.110000,2.206531E+2
2.120000,2.202556E+2
2.130000,2.201563E+2
2.140000,2.212494E+2
2.150000,2.212494E+2
2.160000,2.205538E+2
2.170000,2.203550E+2
2.180000,2.228394E+2
2.190000,2.208519E+2
2.200000,2.224419E+2
2.210000,2.224419E+2
2.220000,2.217463E+2
2.230000,2.201563E+2
2.240000,2.194606E+2
2.250000,2.198581E+2
2.260000,2.201563E+2
2.270000,2.190631E+2
2.280000,2.195600E+2
2.290000,2.200569E+2
2.300000,2.174732E+2
2.310000,2.181688E+2
2.320000,2.221438E+2
2.330000,2.180694E+2
2.340000,2.210506E+2
2.350000,2.179700E+2
2.360000,2.219450E+2
2.370000,2.179700E+2
2.380000,2.203550E+2
2.390000,2.176719E+2
2.400000,2.188644E+2
2.410000,2.203550E+2
2.420000,2.221438E+2
2.430000,2.199575E+2
2.440000,2.196594E+2
2.450000,2.208519E+2
2.460000,2.211500E+2
2.470000,2.214481E+2
2.480000,2.210506E+2
2.490000,2.188644E+2
2.500000,2.197588E+2
2.510000,2.213488E+2
2.520000,2.185663E+2
2.530000,2.219450E+2
2.540000,2.226406E+2
2.550000,2.204544E+2
2.560000,2.195600E+2
2.570000,2.200569E+2
2.580000,2.194606E+2
2.590000,2.180694E+2
2.600000,2.202556E+2
2.610000,2.179700E+2
2.620000,2.219450E+2
2.630000,2.231375E+2
2.640000,2.205538E+2
2.650000,2.228394E+2
2.660000,2.193613E+2
2.670000,2.200569E+2
2.680000,2.199575E+2
2.690000,2.183675E+2
2.700000,2.224419E+2
2.710000,2.236344E+2
2.720000,2.183675E+2
2.730000,2.209513E+2
2.740000,2.169763E+2
2.750000,2.238331E+2
2.760000,2.212494E+2
2.770000,2.195600E+2
2.780000,2.228394E+2
2.790000,2.203550E+2
2.800000,2.200569E+2
