time,(LX)
0.000000,5.387989E-1
0.010000,6.381734E-1
0.020000,1.333794E+0
0.030000,7.375478E-1
0.040000,4.394245E-1
0.050000,1.333794E+0
0.060000,1.333794E+0
0.070000,6.381734E-1
0.080000,1.035671E+0
0.090000,6.381734E-1
0.100000,1.135045E+0
0.110000,4.394245E-1
0.120000,1.135045E+0
0.130000,1.631918E+0
0.140000,7.375478E-1
0.150000,8.369222E-1
0.160000,1.234420E+0
0.170000,5.387989E-1
0.180000,1.135045E+0
0.190000,9.362966E-1
0.200000,1.234420E+0
0.210000,4.394245E-1
0.220000,8.369222E-1
0.230000,1.135045E+0
0.240000,1.035671E+0
0.250000,8.369222E-1
0.260000,7.375478E-1
0.270000,8.369222E-1
0.280000,6.381734E-1
0.290000,7.375478E-1
0.300000,1.035671E+0
0.310000,1.135045E+0
0.320000,1.035671E+0
0.330000,7.375478E-1
0.340000,1.731292E+0
0.350000,6.381734E-1
0.360000,8.369222E-1
0.370000,4.394245E-1
0.380000,9.362966E-1
0.390000,1.234420E+0
0.400000,1.532543E+0
0.410000,5.387989E-1
0.420000,1.333794E+0
0.430000,6.381734E-1
0.440000,1.333794E+0
0.450000,1.333794E+0
0.460000,6.381734E-1
0.470000,6.381734E-1
0.480000,1.234420E+0
0.490000,6.381734E-1
0.500000,1.035671E+0
0.510000,1.135045E+0
0.520000,6.381734E-1
0.530000,8.369222E-1
0.540000,1.234420E+0
0.550000,1.433169E+0
0.560000,1.830666E+0
0.570000,8.369222E-1
0.580000,8.369222E-1
0.590000,1.035671E+0
0.600000,3.221908E+0
0.610000,6.381734E-1
0.620000,3.400501E-1
0.630000,6.381734E-1
0.640000,8.369222E-1
0.650000,6.381734E-1
0.660000,1.433169E+0
0.670000,1.035671E+0
0.680000,1.433169E+0
0.690000,6.381734E-1
0.700000,8.369222E-1
0.710000,1.333794E+0
0.720000,1.035671E+0
0.730000,1.035671E+0
0.740000,1.135045E+0
0.750000,1.234420E+0
0.760000,8.369222E-1
0.770000,9.362966E-1
0.780000,1.631918E+0
0.790000,1.234420E+0
0.800000,7.375478E-1
0.810000,8.369222E-1
0.820000,1.234420E+0
0.830000,1.035671E+0
0.840000,9.362966E-1
0.850000,1.532543E+0
0.860000,1.035671E+0
0.870000,9.362966E-1
0.880000,7.375478E-1
0.890000,1.035671E+0
0.900000,6.381734E-1
0.910000,9.362966E-1
0.920000,1.234420E+0
0.930000,1.035671E+0
0.940000,1.035671E+0
0.950000,1.035671E+0
0.960000,8.369222E-1
0.970000,1.433169E+0
