distancia,N,media,sigma
292,7,401.37989620758486,1.3023041040734755
282,7,0.6891498508183633,0.26292618365153414
288,7,352.6890071856288,1.518497189105603
287,7,268.69818622754485,1.5285216801917818
284,7,30.33228111776447,0.9592779054710363
311,7,3.7413924710578845,0.6209273911744273
291,7,448.88801237524945,1.3854558104397217
293,7,331.46533293413177,1.3957296001803268
279,7,19.00677127744511,0.9612845892631668
314,7,0.723663115968064,0.5083475181396132
290,7,455.1073407185629,1.4276721003530295
267,7,3.1021035349301402,0.39535523560325275
297,7,22.981549461077847,1.2212964647465023
283,7,8.498471668662676,0.5456743272599553
309,7,3.757458976047904,0.6792498344131553
308,7,0.6919267776846307,0.5554872529071123
274,7,0.46659876175648707,0.517861441444455
310,7,6.239835920159681,0.42232663995575387
272,7,4.9888290678642715,0.4761039370941122
265,7,0.4527141150499002,0.32052328870879265
286,7,170.04636806387225,1.6045093817692917
298,7,2.561395630738523,0.6146484243179318
302,7,17.313637185628743,0.6876387510970006
299,7,1.15567404251497,0.3972598551557933
285,7,89.11770431137724,1.282335536740754
296,7,62.82454261477046,1.1305206750863752
295,7,141.52610878243516,1.0634177475625703
289,7,416.00519241516963,1.5016720648535853
278,7,19.74622774451098,1.0424532212829392
294,7,220.763025748503,1.5158354970798364
276,7,10.5942605748503,1.1858491954261752
